Inv. Nr.,Stadtmuseum ID,Link,Inv.-Nr.,Bild,Titel,Maße,Höhe,Breite,Tiefe,Unit,Material,Material Wikidata ID,Datierung in mya,Erdzeitalter,Erdzeitalter Wikidata ID,Herkunft,Herkunft Koordinate,Herkunft Wikidata ID,Herkunft Geoname ID,Fundort,Fundort Koordinate,Fundort Wikidata ID,Fundort Geoname ID,Kommentar,
G 99-13,172597,https://sammlung-online.stadtmuseum.de/index.html?objektid=172597,G-99-13,StadtmuseumBerlin_GeologischeSammlung_G-99-13_MichaelSetzpfandt.jpg,Migmatit,"H: 27,00 cm, B: 60,00 cm, T: 46,00 cm",27,60,46,cm,Migmatit,Q744630,1000,Präkambrium,Q103910,Skandinavien,,Q21195,2614165,Kiesgrube Bochow bei Damsdorf,"52.366170, 12.776859",,,"Der Migmatit ist ein kristallines Geschiebe aus Skandinavien, dessen genaue Herkunft nicht bekannt ist. Sein Alter beträgt über eine Milliarde Jahre (Präkambrium). Es handelt sich um ein Gestein, bei dem eine Teilaufschmelzung begonnen hatte, aber nicht bis zu Ende ging. Dadurch kam es zur Trennung von hellen Mineralen (Quarz, Feldspat) und dunklen Mineralen (Hornblende, Biotit), die das Gestein nun in abwechselnden Lagen durchziehen. Damit steht ein Migmatit zwischen einem Gneis (Deformation, aber keine Schmelze) und einem magmatischen Gestein, das komplett aufgeschmolzen wurde und dann erkaltete.","9,10,19"
G 99-14,172601,https://sammlung-online.stadtmuseum.de/index.html?objektid=172601,G-99-14,StadtmuseumBerlin_GeologischeSammlung_G-99-14_MichaelSetzpfandt.jpg,Bändergneis mit Faltung,"H: 34,00 cm, B: 70,00 cm, T: 40,00 cm",34,70,40,cm,Gneis,Q166409,1000,Präkambrium,Q103910,Skandinavien,,Q21195,2614165,Trebbin,,Q570114,2821465,"Der Gneis ist ein kristallines Geschiebe aus Skandinavien, dessen genaue Herkunft nicht bekannt ist. Sein Alter beträgt über 1 Milliarde Jahre (Präkambrium). Gneise entstehen durch Deformation des Festgesteins bei gerichtetem Druck ohne Aufschmelzung (Metamorphose). Die vorhandenen Mineralien werden dabei verformt und häufig in eine Ebene ausgewalzt. Das vorliegenden Stück zeigt eine sekundäre Verfaltung der ursprünglich horizontalen Schichten.","9,10,18"
G 99-15,172605,https://sammlung-online.stadtmuseum.de/index.html?objektid=172605,G-99-15,StadtmuseumBerlin_GeologischeSammlung_G-99-15_MichaelSetzpfandt.jpg,Åland-Rapakivi,"H: 21,00 cm, B: 55,00 cm, T: 30,00 cm",21,55,30,cm,Granit,Q41177,1600,Präkambrium,Q103910,Åland-Inseln,,Q5689,661882,Fläming,,Q821486,2926388,"Der Åland-Rapakivi ist ein kristallines Leitgeschiebe aus Finnland. Sein Alter beträgt 1,65 Milliarden Jahre (Präkambrium). Benannt ist dieses Gestein nach seinem Herkunftsgebiet, den Åland-Inseln. „Rapakivi“ bedeutet „Fauler Stein“, da das Gestein lokal begrenzt zerfällt. Es handelt sich um einen blass fleischroten Granit mit 0,5 - 3 cm großen Augen aus rotem Kalifeldspat, die von Ringen aus Plagioklas umgeben sind. Der Plagioklas ist im frischen Zustand grün, verwittert später zu gelbgrau und hinterlässt dabei charakteristische Vertiefungen um die „Augen“. Neben größeren Quarzkörnern kommen viele kleine „kommaförmige Quarzfische“ vor, die den Kalifeldspat der Grundmasse durchdringen. Diese Durchdringungen bezeichnet man als graphische Verwachsung oder als Myrmekit.","11,16"
G 99-16,172609,https://sammlung-online.stadtmuseum.de/index.html?objektid=172609,G-99-16,StadtmuseumBerlin_GeologischeSammlung_G-99-16_MichaelSetzpfandt.jpg,Dala-Sandstein mit Schrägschichtung,"H: 28,00 cm, B: 72,00 cm, T: 42,00 cm",28,72,42,cm,Sandstein,Q13085,1300,Präkambrium,Q103910,"Dalarne, Mittelschweden",,Q205218,2699767,Kiesgrube Bochow bei Damsdorf,"52.366170, 12.776859",,,"Der Dala-Sandstein ist ein häufiges und bekanntes Geschiebe. Sein Herkunftsgebiet liegt zum einen in Dalarne (Schweden), ein zweites Ablagerungsgebiet liegt in der Bottensee-Gotlandsee. Er ist von hellroter bis violetter Farbe und gehört zu den ältesten Sedimentgesteinen Skandinaviens (oberes Präkambrium, 1,3 Mrd. Jahre). Der vorliegende Stein zeigt wechselnde Schrägschichtungen.","9,23,27"
G 99-17,172613,https://sammlung-online.stadtmuseum.de/index.html?objektid=172613,G-99-17,StadtmuseumBerlin_GeologischeSammlung_G-99-17_MichaelSetzpfandt.jpg,Palaeoporellenkalk,"H: 21,00 cm, B: 50,00 cm, T: 31,00 cm",21,50,31,cm,Kalkstein,Q23757,445,Ordovizium,Q62100,"Ostseegrund nördlich von Öland, Schweden","57.665913, 17.111360",,,Kiesgrube Hohensaaten,"52.886525, 14.139851",,,"Der Palaeoporellen-Kalk ist ein Geschiebe aus Skandinavien. Anstehend ist das Gestein unbekannt; das Herkunftsgebiet liegt vermutlich am Ostseegrund, östlich und nördlich der Insel Öland. Sein Alter beträgt 445 Millionen Jahre (oberes Ordovizium). Es ist ein weißer, oft rötlich oder grünlich gefärbter dichter Algenkalk, der von 2 - 3 mm starken Röhren aus klarem Kalkspat durchzogen wird. Die fossil erhaltene Kalkalge Palaeoporella ist namengebend für dieses Gestein.",9
G 99-19,172628,https://sammlung-online.stadtmuseum.de/index.html?objektid=172628,G-99-19,StadtmuseumBerlin_GeologischeSammlung_G-99-19_MichaelSetzpfandt.jpg,Riffschuttkalk mit Fossilresten,"H: 27,00 cm, B: 41,00 cm, T: 31,00 cm",27,41,31,cm,Kalkstein,Q23757,420-440,Silur,Q62412,"Region um Gotland, Schweden",,Q1027830,2711511,Kiesgrube Hohensaaten,"52.886525, 14.139851",,,"Der Riffschutt-Kalk ist ein Geschiebe aus Skandinavien. Das Herkunftsgebiet erstreckt sich von Gotland bis Saarema. Sein Alter beträgt 420 – 440 Millionen Jahre (Silur). Der Kalk enthält viele Fossilresten von Korallen, Stromatoporen, Algen und Bryozoen. Das Baltische Flachmeer zeigte zu Beginn des Silurs eine Gliederung in drei Bereiche. In Küstennähe entwickelten sich Barriere-Riffe. Die dort abgelagerten Kalke enthalten Reste der Rifffauna.",9
G 99-20,172631,https://sammlung-online.stadtmuseum.de/index.html?objektid=172631,G-99-20,StadtmuseumBerlin_GeologischeSammlung_G-99-20_MichaelSetzpfandt.jpg,Riffschuttkalk,"H: 31,00 cm, B: 50,00 cm, T: 50,00 cm",31,50,50,cm,Kalkstein,Q23757,420-440,Silur,Q62412,"Ostseeraum, südl. Gotland bis Saaremaa (Estland)","57.580559, 20.418443",,,Tongrube Gröbern bei Dessau,"51.688789, 12.452060",,,"Der Riffschutt-Kalk ist ein Geschiebe aus Skandinavien. Das Herkunftsgebiet erstreckt sich von Gotland bis Saarema. Sein Alter beträgt 420 – 440 Millionen Jahre (Silur). Der Kalk enthält viele Fossilresten von Korallen, Stromatoporen, Algen und Bryozoen. Das Baltische Flachmeer zeigte zu Beginn des Silurs eine Gliederung in drei Bereiche. In Küstennähe entwickelten sich Barriere-Riffe. Die dort abgelagerten Kalke enthalten Reste der Rifffauna.",9
G 99-21,172635,https://sammlung-online.stadtmuseum.de/index.html?objektid=172635,G-99-21,StadtmuseumBerlin_GeologischeSammlung_G-99-21_MichaelSetzpfandt.jpg,Augengneis,"H: 33,00 cm, B: 67,00 cm, T: 50,00 cm",33,67,50,cm,Gneis,Q166409,1000,Präkambrium,Q103910,Skandinavien,,Q21195,2614165,Kiesgrube in Brandenburg,,,2945356,"Der Augengneis ist ein kristallines Geschiebe aus Skandinavien. Sein Alter beträgt über 1 Milliarde Jahre (Präkambrium). Das genaue Herkunftsgebiet von Augengneisen ist nicht bekannt. Gneise entstehen durch Deformation des Festgesteins bei gerichtetem Druck ohne Aufschmelzung (Metamorphose). Die vorhandenen Mineralien werden dabei verformt und häufig in eine Ebene ausgewalzt. Auffällig sind die roten ""Augen"" des Gesteins, die durch Verformung und Umkristallisation größerer Feldspäte entstanden sind.","9,10,18"
SM 2012-1570,424540,https://sammlung-online.stadtmuseum.de/index.html?objektid=424540,SM-2012-1570,StadtmuseumBerlin_GeologischeSammlung_SM-2012-1570.jpg,Kalmarsund-Sandstein,"H: 7,00 cm, B: 12,40 cm, T: 5,60 cm",7,"12,4","5,6",cm,Sandstein,Q13085,540,Kambrium,Q79064,"Kalmarsund, Schweden",,Q784269,2702257,Bundesland Brandenburg,,Q1208,2945356,"Der Kalmarsund-Sandstein ist ein Leitgeschiebe aus dem Kalmarsund, Schweden. Sein Alter beträgt ca. 540 Millionen Jahre (tiefes Unterkambrium). Kennzeichnend ist seine auffallende Streifung, die nicht der Schichtung folgt, sondern auf Oxidation und Ausfällung von Brauneisen während der Ablagerung zurückgeht.","16,23"
SM 2012-1571,424541,https://sammlung-online.stadtmuseum.de/index.html?objektid=424541,SM-2012-1571,StadtmuseumBerlin_GeologischeSammlung_SM-2012-1571.jpg,"Kalmarsund-Sandstein, quarzitisch","H: 6,10 cm, B: 4,90 cm, T: 5,10 cm","6,1","4,9","5,1",cm,Sandstein,Q13085,540,Kambrium,Q79064,"Kalmarsund, Schweden",,Q784269,2702257,Bundesland Brandenburg,,Q1208,2945356,"Der Kalmarsund-Sandstein ist ein Leitgeschiebe aus dem Kalmarsund, Schweden. Sein Alter beträgt ca. 540 Millionen Jahre (tiefes Unterkambrium). Kennzeichnend ist seine auffallende Streifung, die nicht der Schichtung folgt, sondern auf Oxidation und Ausfällung von Brauneisen während der Ablagerung zurückgeht.","16,23"
